,hPred,aPred,hResult,aResults
0,1,2,0,3
1,2,1,1,0
2,2,1,4,3
3,1,1,0,2
4,1,1,0,3
5,2,1,0,1
6,1,2,1,3
7,2,1,0,2
8,1,1,5,2
9,2,1,4,3
10,2,1,1,3
11,2,1,2,1
12,1,2,2,5
13,1,1,0,3
14,1,1,0,2
15,2,1,4,2
16,1,1,1,0
17,0,3,1,3
18,1,2,2,3
19,1,1,1,2
20,1,2,3,3
21,1,1,0,1
22,2,1,0,1
23,2,1,1,1
24,3,1,2,5
25,1,1,4,0
26,2,1,0,3
27,2,1,3,1
28,2,1,4,0
29,1,1,4,2
30,0,2,1,1
31,1,1,3,1
32,2,1,0,3
33,1,1,2,0
34,2,1,2,1
35,2,1,1,0
36,2,1,1,6
37,0,2,7,2
38,1,2,2,2
39,2,1,3,3
40,3,1,1,0
41,1,2,1,4
42,2,1,1,1
43,2,1,1,1
44,2,1,3,3
45,2,1,0,1
46,1,1,0,0
47,1,1,0,1
48,1,1,0,3
49,0,3,1,1
50,1,2,1,2
51,2,1,0,0
52,2,0,2,1
53,1,1,2,0
54,1,1,1,1
55,1,1,0,1
56,1,1,1,1
57,1,2,0,1
58,1,1,2,0
59,1,2,0,1
60,1,2,0,3
61,3,0,2,1
62,1,1,3,4
63,1,1,2,1
64,2,1,0,1
65,2,1,2,1
66,1,1,2,0
67,1,1,1,4
68,1,1,0,0
69,1,1,2,0
70,1,1,1,3
71,2,1,4,1
72,2,1,4,1
73,2,1,1,0
74,1,2,0,1
75,2,1,1,0
76,2,1,1,1
77,2,1,0,3
78,1,2,0,2
79,1,1,1,2
80,1,2,2,0
81,2,0,1,0
82,1,2,2,3
83,2,1,0,1
84,2,1,0,0
85,2,1,3,0
86,1,1,1,0
87,1,1,1,1
88,1,1,0,2
89,1,2,1,1
90,3,0,5,0
91,2,1,0,1
92,1,1,1,0
93,1,2,2,3
94,2,1,0,0
95,2,1,1,2
96,2,1,1,2
97,2,1,2,1
98,1,1,1,1
99,3,0,2,0
100,1,2,1,3
101,2,1,3,1
102,1,1,1,5
103,1,1,1,2
104,2,1,2,0
105,2,1,4,0
106,1,1,1,2
107,2,1,1,2
108,2,1,0,1
109,1,1,2,1
110,1,2,0,0
111,1,2,1,0
112,1,1,3,0
113,1,2,1,1
114,1,2,1,1
115,2,1,0,1
116,2,1,3,0
117,1,2,2,1
118,3,0,1,1
119,2,1,1,1
120,2,1,5,2
121,2,1,0,2
122,1,2,0,0
123,2,1,2,1
124,2,1,1,1
125,1,1,0,0
126,1,2,2,3
127,1,2,0,7
128,0,3,0,1
129,1,1,2,1
130,2,1,1,1
131,1,1,1,1
132,2,1,0,2
133,2,1,6,2
134,1,1,0,3
135,1,1,2,1
136,2,1,3,0
137,2,1,2,2
138,1,1,3,0
139,1,1,0,0
140,2,2,3,1
141,3,0,2,0
142,2,1,0,1
143,2,1,1,0
144,1,1,2,2
145,3,0,1,1
146,1,2,1,1
147,1,1,1,1
148,2,1,1,1
149,1,1,0,1
150,1,1,1,0
151,2,1,0,0
152,1,1,0,5
153,2,1,1,0
154,1,2,0,0
155,2,1,0,1
156,2,1,2,1
157,2,1,3,0
158,1,1,2,0
159,1,2,3,3
160,1,1,0,4
161,1,1,1,2
162,1,2,1,3
163,1,2,1,0
164,2,1,1,0
165,1,2,0,1
166,1,1,1,2
167,3,1,1,0
168,2,1,1,1
169,2,1,0,0
170,2,1,2,3
171,2,1,0,1
172,2,1,1,0
173,1,2,0,1
174,2,1,2,0
175,1,2,1,3
176,2,1,0,0
177,3,0,4,0
178,2,1,3,0
179,2,1,2,1
180,1,1,2,0
181,3,1,2,0
182,1,2,1,2
183,3,0,0,1
184,1,1,2,0
185,2,1,2,3
186,1,1,1,2
187,1,1,1,3
188,0,3,0,5
189,1,1,3,2
190,2,1,0,0
191,2,1,0,0
192,1,1,1,1
193,2,1,1,2
194,1,2,1,3
195,1,1,0,2
196,1,2,1,0
197,3,0,1,0
198,2,1,2,2
199,2,2,0,0
200,2,1,0,1
201,2,1,2,0
202,2,1,1,3
203,1,2,1,3
204,1,2,1,0
205,2,1,2,1
206,1,1,2,1
207,2,1,9,0
208,1,1,1,2
209,0,3,0,2
210,1,2,0,2
211,2,1,1,2
212,1,1,1,3
213,2,1,0,1
214,2,2,0,1
215,1,2,1,0
216,1,1,1,1
217,1,1,3,2
218,1,1,0,0
219,2,1,3,3
220,2,1,2,0
221,1,1,0,0
222,1,2,1,4
223,1,2,1,2
224,2,1,2,0
225,1,2,3,1
226,2,1,0,3
227,3,1,3,0
228,1,1,0,0
229,1,1,1,2
230,1,2,1,1
231,2,1,4,2
232,2,1,0,2
233,1,1,3,0
234,2,1,2,0
235,2,1,1,1
236,0,2,1,3
237,1,1,1,0
238,1,2,1,1
239,2,1,0,0
240,2,1,0,2
241,1,1,1,0
242,1,2,2,1
243,1,2,1,2
244,1,2,0,1
245,2,1,3,1
246,1,1,1,2
247,2,1,3,0
248,3,0,2,1
249,1,1,1,0
250,2,1,0,1
251,1,2,1,1
252,2,1,0,0
253,2,1,1,3
254,2,1,4,0
255,2,1,0,0
256,1,2,0,2
257,2,1,1,0
258,3,1,4,1
259,1,1,1,1
260,2,1,1,0
261,1,2,0,0
262,1,2,0,1
263,1,1,0,1
264,2,1,0,1
265,1,1,1,1
266,2,1,0,2
267,1,2,0,0
268,1,1,1,2
269,1,1,0,0
270,3,0,0,1
271,3,1,0,2
