,hGoals,hGoalsAgs,hShots,hShotsAgs,hShotsTar,hShotsAgsTar,hCorners,hCornersAgs,aGoals,aGoalsAgs,aShots,aShotsAgs,aShotsTar,aShotsAgsTar,aCorners,aCornersAgs,hGoals,hGoalsAgs,hPointsAvg,hShots,hShotsAgs,hShotsTar,hShotsAgsTar,hCorners,hCornersAgs,hGoals,hGoalsAgs,hPointsAvg,hShots,hShotsAgs,hShotsTar,hShotsAgsTar,hCorners,hCornersAgs,hELO,aELO,FTHG,FTAG
0,2.3421052631578947,0.7894736842105263,18.342105263157894,7.355263157894737,6.526315789473684,2.3421052631578947,6.907894736842105,3.5,1.368421052631579,1.5789473684210527,12.210526315789474,11.157894736842104,3.5789473684210527,3.8421052631578947,5.684210526315789,4.473684210526316,2.2,0.4,3.0,16.6,8.4,7.2,2.8,5.6,4.8,1.6,1.8,1.4,15.0,10.6,4.8,4.0,4.8,4.0,3879.742912643558,1509.4564996466966,4,1
0,1.4342105263157894,1.4473684210526316,13.657894736842104,11.710526315789474,4.25,4.315789473684211,5.328947368421052,4.407894736842105,2.6578947368421053,0.8421052631578947,18.63157894736842,6.671052631578948,6.9605263157894735,2.5,7.723684210526316,2.9210526315789473,1.0,2.2,0.6,10.2,15.6,3.8,6.6,3.6,5.4,2.8,0.6,2.6,23.8,7.4,9.0,2.2,8.4,2.8,3022.589860142199,4286.125866540939,0,5
0,1.5,1.5526315789473684,13.052631578947368,12.31578947368421,4.447368421052632,4.171052631578948,5.7631578947368425,4.75,1.5131005956622556,1.1959149331686054,14.093199012652688,11.375675277496903,4.660393640838863,3.916338655521608,5.794164184377088,4.791832177136098,2.0,1.4,2.0,11.8,14.0,4.0,4.6,5.4,5.0,1.359035506094317,1.3592828122239853,1.374439145027378,13.053842077371527,12.985029146793803,4.356129659070821,4.351766472354737,5.186283342165695,5.164405582052643,2733.4722728577576,1000.0,1,1
0,1.1578947368421053,1.2105263157894737,11.0,14.807017543859649,3.43859649122807,4.526315789473684,4.43859649122807,5.754385964912281,1.355263157894737,1.3026315789473684,14.407894736842104,11.776315789473685,4.631578947368421,3.6052631578947367,5.894736842105263,4.855263157894737,0.6,2.0,0.2,10.4,20.6,3.0,7.4,3.6,5.8,1.2,1.2,1.0,15.4,13.8,4.6,5.6,5.6,4.2,2302.082386659091,2960.774277318084,3,0
0,1.1973684210526316,1.2894736842105263,13.68421052631579,11.776315789473685,4.342105263157895,4.0,6.078947368421052,5.026315789473684,1.7763157894736843,1.1710526315789473,13.473684210526315,11.302631578947368,4.618421052631579,3.8157894736842106,5.842105263157895,4.9868421052631575,0.8,1.2,1.2,10.8,15.6,4.4,5.0,4.8,5.4,1.6,1.8,1.2,11.4,12.2,4.0,4.6,3.6,3.8,2713.914514583409,3028.658620345259,0,0
0,1.2894736842105263,1.4078947368421053,12.381578947368421,11.473684210526315,4.0,4.25,4.7894736842105265,4.7894736842105265,1.131578947368421,1.394736842105263,10.973684210526315,12.289473684210526,3.263157894736842,4.368421052631579,4.7368421052631575,4.868421052631579,2.0,1.0,2.4,12.4,8.6,4.8,2.8,5.0,5.6,1.4,1.8,1.0,9.0,14.8,2.8,5.2,4.2,4.6,2674.9230363202896,1742.1486353370897,0,3
0,2.0526315789473686,0.7368421052631579,18.486842105263158,9.56578947368421,6.802631578947368,3.25,7.0394736842105265,3.8684210526315788,0.7368421052631579,1.8421052631578947,11.368421052631579,11.421052631578947,3.263157894736842,4.842105263157895,4.947368421052632,6.2631578947368425,2.0,1.2,1.8,14.2,14.4,5.2,4.6,5.4,3.4,1.2,1.6,0.8,11.0,12.8,3.2,3.8,4.0,5.0,3983.264573394306,1249.285201329373,3,1
0,1.513157894736842,1.118421052631579,13.697368421052632,11.723684210526315,4.552631578947368,3.8289473684210527,5.5394736842105265,4.9605263157894735,1.4736842105263157,1.105263157894737,14.052631578947368,11.789473684210526,4.473684210526316,3.789473684210526,5.7368421052631575,4.7368421052631575,1.6,1.8,1.2,10.6,10.0,4.8,4.6,3.8,5.8,1.0,1.0,1.6,15.6,10.0,4.4,3.6,5.8,4.4,3318.8146269916083,1606.1344800123513,0,0
0,1.3508771929824561,1.1578947368421053,12.596491228070175,11.894736842105264,4.245614035087719,3.6315789473684212,4.771929824561403,5.385964912280702,2.1842105263157894,0.8289473684210527,16.460526315789473,10.578947368421053,6.2105263157894735,3.9210526315789473,6.921052631578948,4.552631578947368,0.8,1.6,0.2,8.0,15.6,2.8,3.8,4.4,4.6,2.0,1.8,1.8,14.0,14.4,6.4,5.8,5.2,5.8,2345.7602181561274,3730.987093040292,0,1
0,1.631578947368421,0.7236842105263158,15.052631578947368,9.289473684210526,5.421052631578948,3.1184210526315788,6.434210526315789,3.75,2.0526315789473686,0.9868421052631579,17.092105263157894,9.486842105263158,6.105263157894737,3.3026315789473686,6.894736842105263,4.407894736842105,1.6,1.6,1.8,14.0,10.2,5.8,3.8,5.0,3.6,2.8,0.8,3.0,18.8,8.2,6.2,2.4,5.4,3.4,3735.4045552161338,3726.969801425074,4,0
0,2.1842105263157894,0.8289473684210527,16.460526315789473,10.578947368421053,6.2105263157894735,3.9210526315789473,6.921052631578948,4.552631578947368,1.1896551724137931,1.1896551724137931,10.982758620689655,14.741379310344827,3.4482758620689653,4.5,4.396551724137931,5.775862068965517,1.8,1.6,1.8,13.2,15.4,6.4,5.8,5.0,4.8,1.2,1.8,0.8,11.0,16.8,3.4,6.6,3.6,5.6,3746.448095293036,2319.704745807523,2,1
0,0.7368421052631579,1.8421052631578947,11.368421052631579,11.421052631578947,3.263157894736842,4.842105263157895,4.947368421052632,6.2631578947368425,1.4935064935064934,1.5454545454545454,13.051948051948052,12.25974025974026,4.428571428571429,4.1558441558441555,5.7272727272727275,4.740259740259741,1.0,1.6,0.8,10.2,14.8,3.2,4.0,3.0,7.0,1.4,1.2,1.6,12.4,12.8,3.6,3.6,5.2,4.6,1243.2436978821968,2741.5428958127072,1,2
0,1.131578947368421,1.394736842105263,10.973684210526315,12.289473684210526,3.263157894736842,4.368421052631579,4.7368421052631575,4.868421052631579,1.4155844155844155,1.4935064935064934,13.545454545454545,11.74025974025974,4.233766233766234,4.376623376623376,5.2727272727272725,4.363636363636363,1.6,1.4,1.4,7.6,14.2,2.6,4.8,3.8,5.4,0.4,3.0,0.0,9.4,15.2,3.6,7.6,3.4,4.8,1764.0201237497663,3027.760586192573,1,1
0,1.7763157894736843,1.1710526315789473,13.473684210526315,11.302631578947368,4.618421052631579,3.8157894736842106,5.842105263157895,4.9868421052631575,1.2727272727272727,1.4285714285714286,12.363636363636363,11.38961038961039,3.987012987012987,4.233766233766234,4.792207792207792,4.753246753246753,1.4,1.2,1.4,10.2,11.6,3.8,4.2,3.2,4.6,1.8,1.2,2.4,11.8,7.8,4.4,2.2,4.8,4.4,3038.728517481643,2679.9084051561035,1,0
0,1.368421052631579,1.5789473684210527,12.210526315789474,11.157894736842104,3.5789473684210527,3.8421052631578947,5.684210526315789,4.473684210526316,1.3275862068965518,1.1551724137931034,12.53448275862069,11.827586206896552,4.206896551724138,3.603448275862069,4.775862068965517,5.344827586206897,1.2,2.4,0.8,15.0,12.2,5.0,5.0,4.4,5.4,0.6,1.4,0.2,9.0,14.8,2.8,3.8,3.4,4.4,1503.353561074332,2344.7967272918086,3,1
0,1.355263157894737,1.3026315789473684,14.407894736842104,11.776315789473685,4.631578947368421,3.6052631578947367,5.894736842105263,4.855263157894737,2.3636363636363638,0.7922077922077922,18.2987012987013,7.415584415584416,6.532467532467533,2.3766233766233764,6.961038961038961,3.4805194805194803,0.8,1.4,0.8,14.8,13.4,4.2,5.6,6.8,3.8,2.6,0.4,3.0,16.2,8.6,6.6,3.2,7.0,4.2,2965.7593105462597,3906.0457272801186,1,2
0,2.6578947368421053,0.8421052631578947,18.63157894736842,6.671052631578948,6.9605263157894735,2.5,7.723684210526316,2.9210526315789473,2.064935064935065,0.7402597402597403,18.649350649350648,9.532467532467532,6.805194805194805,3.25974025974026,7.12987012987013,3.8181818181818183,3.2,0.6,2.6,21.0,6.6,9.0,2.2,6.6,2.2,2.4,1.0,2.4,18.2,12.4,6.0,3.4,7.2,2.6,4313.503075499832,4004.7897201307132,2,2
0,1.5125220122362901,1.1940869041020143,14.098539136868224,11.372232709160404,4.661975538452913,3.9180723473022088,5.797162787391129,4.787904452394182,1.1818181818181819,1.2727272727272727,13.584415584415584,11.753246753246753,4.311688311688312,3.987012987012987,6.077922077922078,4.987012987012987,1.0,1.0,1.0,8.0,13.0,3.0,3.0,4.0,3.0,0.6,1.2,0.8,10.6,14.6,4.4,5.2,5.4,4.8,1009.516490498266,2727.605338973215,1,0
0,2.0526315789473686,0.9868421052631579,17.092105263157894,9.486842105263158,6.105263157894737,3.3026315789473686,6.894736842105263,4.407894736842105,1.4935064935064934,1.103896103896104,13.714285714285714,11.675324675324676,4.5064935064935066,3.8051948051948052,5.623376623376624,4.935064935064935,2.0,1.4,2.4,18.8,9.2,6.2,3.0,5.4,3.2,1.2,1.0,1.4,10.8,9.6,3.4,4.0,5.0,5.6,3736.5484111743995,3329.0556924381767,1,1
0,1.4736842105263157,1.105263157894737,14.052631578947368,11.789473684210526,4.473684210526316,3.789473684210526,5.7368421052631575,4.7368421052631575,1.6623376623376624,0.7142857142857143,15.0,9.402597402597403,5.415584415584416,3.168831168831169,6.3896103896103895,3.7662337662337664,0.8,1.0,1.2,11.2,11.6,3.4,3.4,4.8,6.4,2.0,1.4,1.8,14.4,11.0,5.6,4.2,4.0,3.4,1616.9174385834988,3758.3800917011977,1,1
0,0.75,1.85,11.9,11.45,3.45,4.8,5.2,6.2,1.7662337662337662,1.155844155844156,13.454545454545455,11.25974025974026,4.584415584415584,3.792207792207792,5.818181818181818,5.012987012987013,0.8,1.6,0.6,10.4,15.8,3.4,4.2,4.0,7.2,1.4,1.0,1.8,10.4,11.4,4.0,3.4,3.2,5.4,1235.5101978107168,3054.1826638334223,2,0
0,1.45,1.55,12.35,11.1,3.8,3.8,5.75,4.5,2.038961038961039,0.987012987012987,17.051948051948052,9.519480519480519,6.090909090909091,3.2987012987012987,6.857142857142857,4.415584415584416,1.8,2.0,1.4,16.8,9.6,6.4,4.0,5.0,5.2,1.8,1.6,2.0,16.8,10.0,6.0,3.4,4.8,3.0,1539.9788645031922,3739.316545826563,2,3
0,1.1282051282051282,1.3846153846153846,11.102564102564102,12.179487179487179,3.282051282051282,4.333333333333333,4.82051282051282,4.897435897435898,1.3506493506493507,1.3116883116883118,14.402597402597403,11.818181818181818,4.6103896103896105,3.6363636363636362,5.883116883116883,4.909090909090909,1.4,1.2,1.4,7.8,13.8,2.4,4.4,4.0,6.4,0.6,1.8,0.2,13.8,12.4,3.6,5.6,7.0,4.2,1770.9650096828168,2969.297766008387,0,2
0,1.6623376623376624,0.7142857142857143,15.0,9.402597402597403,5.415584415584416,3.168831168831169,6.3896103896103895,3.7662337662337664,1.1818181818181819,1.2727272727272727,13.584415584415584,11.753246753246753,4.311688311688312,3.987012987012987,6.077922077922078,4.987012987012987,1.8,1.6,1.4,12.0,10.4,4.2,4.2,4.2,3.8,0.6,1.0,0.8,7.8,13.8,4.0,4.6,4.8,5.6,3761.360634830126,2726.6398613032848,1,2
0,1.0,0.0,15.0,6.0,3.0,4.0,8.0,4.0,1.4935064935064934,1.103896103896104,13.714285714285714,11.675324675324676,4.5064935064935066,3.8051948051948052,5.623376623376624,4.935064935064935,1.0,0.5,2.0,11.5,9.5,3.0,3.5,6.0,3.5,1.2,0.8,1.6,10.8,10.4,3.0,4.2,5.2,5.6,1047.9551649799787,3331.539073102015,1,2
0,1.2727272727272727,1.4285714285714286,12.363636363636363,11.38961038961039,3.987012987012987,4.233766233766234,4.792207792207792,4.753246753246753,1.4155844155844155,1.4935064935064934,13.545454545454545,11.74025974025974,4.233766233766234,4.376623376623376,5.2727272727272725,4.363636363636363,1.4,1.2,1.8,12.0,8.0,4.2,2.2,5.6,3.2,0.6,3.0,0.2,8.4,15.4,3.6,7.2,3.8,5.6,2684.568283406349,3036.101350628116,1,3
0,2.3636363636363638,0.7922077922077922,18.2987012987013,7.415584415584416,6.532467532467533,2.3766233766233764,6.961038961038961,3.4805194805194803,2.1818181818181817,0.8311688311688312,16.454545454545453,10.675324675324676,6.246753246753247,3.935064935064935,6.961038961038961,4.584415584415584,2.6,0.4,3.0,17.2,9.0,7.0,2.8,8.0,4.4,1.6,1.4,1.8,13.0,16.2,6.0,6.2,5.2,5.6,3929.4148701135864,3765.272676028836,3,1
0,1.4935064935064934,1.5454545454545454,13.051948051948052,12.25974025974026,4.428571428571429,4.1558441558441555,5.7272727272727275,4.740259740259741,2.6493506493506493,0.8571428571428571,18.77922077922078,6.623376623376624,7.0,2.4935064935064934,7.792207792207792,2.909090909090909,1.8,1.0,2.2,13.2,12.4,4.2,3.8,5.0,5.2,3.2,0.8,2.2,22.2,6.6,9.4,2.2,8.4,2.6,2764.4458252504187,4328.969202054012,1,3
0,2.064935064935065,0.7402597402597403,18.649350649350648,9.532467532467532,6.805194805194805,3.25974025974026,7.12987012987013,3.8181818181818183,1.3275862068965518,1.1551724137931034,12.53448275862069,11.827586206896552,4.206896551724138,3.603448275862069,4.775862068965517,5.344827586206897,2.6,1.0,2.6,16.6,17.0,6.0,4.8,5.6,4.6,0.6,1.6,0.2,10.4,13.0,3.0,3.8,4.4,5.0,4023.741925017872,2354.1684473013015,0,1
0,1.45,1.1,13.65,11.65,4.35,3.7,5.65,4.8,1.1896551724137931,1.1896551724137931,10.982758620689655,14.741379310344827,3.4482758620689653,4.5,4.396551724137931,5.775862068965517,0.8,1.2,0.8,9.4,10.8,2.6,3.2,4.8,6.8,1.4,1.8,0.8,12.8,15.8,4.0,6.6,4.6,6.6,1625.5277740907366,2331.6247724275154,1,1
0,1.3506493506493507,1.3116883116883118,14.402597402597403,11.818181818181818,4.6103896103896105,3.6363636363636362,5.883116883116883,4.909090909090909,1.6538461538461537,0.7307692307692307,15.08974358974359,9.346153846153847,5.384615384615385,3.1666666666666665,6.410256410256411,3.730769230769231,0.8,1.4,0.8,14.0,13.2,3.4,5.2,6.0,5.2,2.0,1.4,1.4,11.8,9.6,3.8,3.8,4.8,3.6,2988.5221411636785,3768.800333812225,1,1
0,2.038961038961039,0.987012987012987,17.051948051948052,9.519480519480519,6.090909090909091,3.2987012987012987,6.857142857142857,4.415584415584416,1.0,1.0,11.5,8.0,3.0,3.0,7.5,4.0,2.0,1.8,2.0,18.4,10.0,7.0,4.0,5.4,2.4,1.0,1.0,1.3333333333333333,10.333333333333334,9.666666666666666,3.0,3.0,6.333333333333333,3.6666666666666665,3761.830361857896,1037.9690058088297,2,2
0,1.1818181818181819,1.2727272727272727,13.584415584415584,11.753246753246753,4.311688311688312,3.987012987012987,6.077922077922078,4.987012987012987,0.8095238095238095,1.7619047619047619,11.666666666666666,11.476190476190476,3.4285714285714284,4.619047619047619,4.9523809523809526,6.190476190476191,0.8,0.8,1.4,7.0,15.6,4.0,4.2,4.4,6.0,1.0,1.2,1.2,9.6,15.0,3.6,3.2,3.2,7.2,2746.121949823889,1272.5141900734834,1,0
0,1.4935064935064934,1.103896103896104,13.714285714285714,11.675324675324676,4.5064935064935066,3.8051948051948052,5.623376623376624,4.935064935064935,1.4871794871794872,1.564102564102564,13.012820512820513,12.346153846153847,4.461538461538462,4.166666666666667,5.705128205128205,4.743589743589744,1.2,0.8,1.6,11.2,9.8,2.4,3.8,5.4,5.0,1.6,1.2,2.0,11.8,14.0,4.6,4.2,4.6,5.8,3351.236442931823,2764.5567786057645,3,1
0,2.6493506493506493,0.8571428571428571,18.77922077922078,6.623376623376624,7.0,2.4935064935064934,7.792207792207792,2.909090909090909,1.1,1.4,11.125,12.175,3.275,4.325,4.9,4.9,3.6,0.8,2.6,22.4,6.4,9.2,3.2,7.6,2.4,1.4,1.4,1.4,9.0,11.8,2.6,3.6,4.6,5.8,4351.767965137161,1775.2475821745886,4,0
0,1.3275862068965518,1.1551724137931034,12.53448275862069,11.827586206896552,4.206896551724138,3.603448275862069,4.775862068965517,5.344827586206897,1.2692307692307692,1.4487179487179487,12.5,11.448717948717949,3.9743589743589745,4.3076923076923075,4.833333333333333,4.782051282051282,0.6,1.2,0.8,10.8,13.4,3.2,3.6,4.8,5.2,1.2,1.6,1.2,14.0,9.4,3.8,3.6,6.0,4.0,2369.542921923948,2693.3085173062072,1,1
0,1.4155844155844155,1.4935064935064934,13.545454545454545,11.74025974025974,4.233766233766234,4.376623376623376,5.2727272727272725,4.363636363636363,1.4761904761904763,1.619047619047619,12.047619047619047,11.666666666666666,3.857142857142857,4.0,5.523809523809524,4.666666666666667,1.0,2.6,0.8,9.0,16.6,4.6,5.8,4.8,5.2,2.0,2.4,1.2,13.8,13.0,6.0,5.4,3.4,6.8,3055.4828418973493,1531.0019879696845,2,0
0,1.1896551724137931,1.1896551724137931,10.982758620689655,14.741379310344827,3.4482758620689653,4.5,4.396551724137931,5.775862068965517,2.371794871794872,0.7948717948717948,18.384615384615383,7.435897435897436,6.512820512820513,2.3846153846153846,6.948717948717949,3.4871794871794872,1.2,1.2,1.0,13.0,14.2,4.4,4.6,4.4,6.2,3.0,0.6,3.0,17.8,9.6,6.4,3.0,7.6,4.2,2336.190909483785,3954.354102923053,0,3
0,1.7662337662337662,1.155844155844156,13.454545454545455,11.25974025974026,4.584415584415584,3.792207792207792,5.818181818181818,5.012987012987013,1.4285714285714286,1.0952380952380953,13.80952380952381,11.714285714285714,4.238095238095238,3.7142857142857144,5.571428571428571,4.714285714285714,1.0,1.0,1.6,10.6,9.4,3.6,3.0,4.0,4.2,0.8,1.2,0.8,10.6,9.8,2.6,2.8,4.6,5.6,3070.8871845402737,1635.223398974105,3,2
0,2.1818181818181817,0.8311688311688312,16.454545454545453,10.675324675324676,6.246753246753247,3.935064935064935,6.961038961038961,4.584415584415584,2.0384615384615383,0.7435897435897436,18.628205128205128,9.512820512820513,6.743589743589744,3.2564102564102564,7.115384615384615,3.8461538461538463,1.2,1.8,1.2,11.4,18.6,4.6,6.2,4.0,6.4,2.0,1.2,2.0,18.2,14.0,5.4,4.4,6.4,4.8,3781.716987873403,4030.9878542113993,2,2
0,2.371794871794872,0.7948717948717948,18.384615384615383,7.435897435897436,6.512820512820513,2.3846153846153846,6.948717948717949,3.4871794871794872,1.3220338983050848,1.152542372881356,12.542372881355933,11.847457627118644,4.220338983050848,3.593220338983051,4.796610169491525,5.338983050847458,3.2,0.6,3.0,17.6,9.4,6.6,3.0,7.0,4.2,0.8,1.4,0.8,11.0,13.6,3.0,4.0,5.0,5.2,3980.6333612826825,2378.6784266171026,3,1
0,1.1,1.4,11.125,12.175,3.275,4.325,4.9,4.9,1.1694915254237288,1.2203389830508475,10.915254237288135,14.745762711864407,3.4237288135593222,4.5423728813559325,4.423728813559322,5.745762711864407,0.8,1.8,0.8,9.0,13.0,2.4,4.2,4.2,6.4,1.0,1.2,1.0,12.8,15.4,4.2,4.8,4.6,6.6,1780.060138675464,2342.631291277694,1,1
0,1.6538461538461537,0.7307692307692307,15.08974358974359,9.346153846153847,5.384615384615385,3.1666666666666665,6.410256410256411,3.730769230769231,1.5128205128205128,1.1025641025641026,13.705128205128204,11.628205128205128,4.512820512820513,3.782051282051282,5.602564102564102,4.935897435897436,1.8,1.0,1.6,14.2,10.4,4.8,3.6,4.4,3.4,1.4,1.0,1.6,12.6,9.2,3.0,3.6,6.0,4.2,3781.9440654929845,3369.4081039365506,1,0
